序号    类型   子类    总长度              点距                 夹角                半径
 368    0      -1       1989.4858           5.1636             -90                  0 
 369    0       0       1992.7866           3.3007              0                   0 
 370    0       0       2000.3874           7.6008              0                   0 
 371    0       0       2007.9874           7.6001              0                   0 
 372    0       0       2015.5869           7.5995              0                   0 
 373    0       0       2023.186            7.5991              0                   0 
 374    0       0       2030.7848           7.5988              0                   0 
 375    0       0       2038.3835           7.5987              0                   0 
 376    0       0       2045.9822           7.5987              0                   0 
 377    0       0       2053.5811           7.5989              0                   0 
 378    0       0       2061.1803           7.5993              0                   0 
 379    0       0       2068.7801           7.5998              0                   0 
 380    0       0       2076.3805           7.6004              0                   0 
 381    0      -1       2083.4817           7.1012             -90                  0 
 382    0       0       2086.3832           2.9014              0                   0 
 383    0       0       2093.1854           6.8022              0                   0 
 384    0       0       2099.9869           6.8015              0                   0 
 385    0       0       2106.7879           6.8009              0                   0 
 386    0       0       2113.5884           6.8005              0                   0 
 387    0       0       2120.3886           6.8002              0                   0 
 388    0       0       2127.1887           6.8001              0                   0 
 389    4       2       2133.1583           5.9696              90                  0 
 390    0       0       2133.9888           .8305               0                   0 
 391    0       0       2140.7891           6.8003              0                   0 
 392    0       0       2147.5898           6.8007              0                   0 
 393    0       0       2154.391            6.8012              0                   0 
 394    0       0       2161.1929           6.8019              0                   0 
 395    0       0       2167.9781           6.7852             -3.9952             -63.8728 
 396    0       0       2170.0481           2.07               -3.2521             -36.4232 
 397    0       0       2172.0513           2.0032             -3.4692             -33.0603 
 398    0       0       2173.9906           1.9392             -3.6809             -30.2524 
 399    0       0       2175.8736           1.883              -3.8795             -27.9617 
 400    0       0       2177.7088           1.8352             -4.0564             -26.1551 
 401    0       0       2179.5055           1.7967             -4.2025             -24.8049 
 402    0       0       2181.2735           1.768              -4.3094             -23.8891 
 403    0       0       2183.0232           1.7497             -4.3704             -23.3923 
 404    0       0       2184.7652           1.742              -4.3813             -23.3059 
 405    0       0       2186.5104           1.7452             -4.3415             -23.6285 
 406    0       0       2188.2696           1.7592             -4.2536             -24.3656 
 407    0       0       2190.0532           1.7837             -4.1233             -25.5301 
 408    0       0       2191.8715           1.8183             -3.9585             -27.1412 
 409    0       0       2193.7338           1.8623             -3.7682             -29.2243 
