ÐòºÅ       ×Ü³¤¶È                 µã¾à                   ¼Ð½Ç              °ë¾¶
 321        1618.0458               2.0178               -3.6447           -31.2257 
 322        1619.9999               1.9542               -3.8729           -28.5074 
 323        1621.8989               1.899                -4.0846           -26.3197 
 324        1623.7518               1.8529               -4.2696           -24.6278 
 325        1625.5686               1.8167               -4.4173           -23.4031 
 326        1627.3595               1.791                -4.5182           -22.6237 
 327        1629.1357               1.7762               -4.5652           -22.275 
 328        1630.9082               1.7725               -4.5548           -22.3506 
 329        1632.6883               1.7801               -4.4879           -22.8517 
 330        1634.4872               1.7988               -4.3692           -23.7879 
 331        1636.3155               1.8283               -4.207            -25.1762 
 332        1638.1835               1.868                -4.0112           -27.041 
 333        1640.1009               1.9174               -3.7924           -29.4132 
 334        1642.0765               1.9756               -3.5606           -32.3295 
 335        1644.1184               2.042                -4.6949           -46.14 
 336        1649.6346               5.5162               -.8523            -414.0577 
 337        1656.4368               6.8022                0                 0 
 338        1663.2383               6.8015                0                 0 
 339        1670.0393               6.8009                0                 0 
 340        1676.8397               6.8005                0                 0 
 341        1683.64                 6.8002                0                 0 
 342        1690.4401               6.8001                0                 0 
 343        1697.2402               6.8001                0                 0 
 344        1704.0405               6.8003                0                 0 
 345        1710.8412               6.8007                0                 0 
 346        1717.6424               6.8012                0                 0 
 347        1724.4443               6.8019                0                 0 
 348        1731.2469               6.8027               -90               -3.8962 
 349        1735.0477               3.8007                0                 0 
 350        1742.6485               7.6008                0                 0 
 351        1750.2485               7.6001                0                 0 
 352        1757.848                7.5995                0                 0 
 353        1765.4471               7.5991                0                 0 
 354        1773.0459               7.5988                0                 0 
 355        1780.6446               7.5987                0                 0 
 356        1788.2433               7.5987                0                 0 
 357        1795.8422               7.5989                0                 0 
 358        1803.4414               7.5993                0                 0 
 359        1811.0412               7.5998                0                 0 
 360        1818.6416               7.6004                0                 0 
 361        1826.2428               7.6012               -90               -4.1638 
 362        1829.6443               3.4014                0                 0 
 363        1836.4465               6.8022                0                 0 
 364        1843.248                6.8015                0                 0 
 365        1850.049                6.8009                0                 0 
 366        1856.8494               6.8005                0                 0 
 367        1863.6497               6.8002                0                 0 
 368        1870.4498               6.8001                0                 0 
 369        1877.2499               6.8001                0                 0 
 370        1884.0502               6.8003                0                 0 
 371        1890.8509               6.8007                0                 0 
 372        1897.6521               6.8012                0                 0 
 373        1904.454                6.8019                0                 0 
 374        1911.2566               6.8027               -3.9952           -63.8728 
 375        1913.3583               2.1016               -3.2521           -36.4232 
 376        1915.3908               2.0325               -3.4692           -33.0603 
 377        1917.3612               1.9704               -3.6809           -30.2524 
 378        1919.2772               1.916                -3.8795           -27.9617 
 379        1921.1471               1.8699               -4.0564           -26.1551 
 380        1922.9798               1.8327               -4.2025           -24.8049 
 381        1924.785                1.8052               -4.3094           -23.8891 
 382        1926.5725               1.7875               -4.3704           -23.3923 
 383        1928.3527               1.7802               -4.3813           -23.3059 
 384        1930.136                1.7833               -4.3415           -23.6285 
 385        1931.9327               1.7967               -4.2536           -24.3656 
 386        1933.7529               1.8202               -4.1233           -25.5301 
 387        1935.6064               1.8535               -3.9585           -27.1412 
 388        1937.5025               1.8961               -3.7682           -29.2243 
 389        1939.4497               1.9472               -3.5611           -31.8107 
 390        1941.4561               2.0064               -3.3454           -34.9362 
 391        1943.5289               2.0728               -4.6116           -40.0347 
 392        1947.8983               4.3694               -5.4191           -47.9985 
 393        1952.6049               4.7067               -4.6599           -60.1846 
 394        1957.6853               5.0804               -3.9999           -75.6723 
 395        1963.1683               5.483                 85.6388           2.7949 
 396        1963.8358               .6675                 0                 0 
 397        1969.1747               5.3389                0                 0 
 398        1974.508                5.3333                0                 0 
 399        1979.8307               5.3227                90                3.9859 
 400        1985.7652               5.9345                0                 0 
 401        1991.6996               5.9345                0                 0 
 402        1997.6341               5.9344                0                 0 
 403        2003.5685               5.9344                0                 0 
 404        2009.5028               5.9344                0                 0 
 405        2015.4371               5.9343                0                 0 
 406        2021.3714               5.9343                0                 0 
 407        2027.3056               5.9342                0                 0 
 408        2033.2397               5.9341                0                 0 
 409        2039.1737               5.934                 0                 0 
 410        2045.1076               5.9339                0                 0 
 411        2051.0414               5.9338                0                 0 
 412        2056.9751               5.9337                0                 0 
 413        2062.9087               5.9336                0                 0 
 414        2068.8421               5.9334                0                 0 
 415        2074.7754               5.9333                0                 0 
 416        2080.7085               5.9331                0                 0 
 417        2086.6415               5.933                 0                 0 
 418        2092.5742               5.9328                0                 0 
 419        2098.5068               5.9326                0                 0 
 420        2104.4392               5.9324                0                 0 
 421        2110.3714               5.9322                0                 0 
 422        2116.3034               5.932                 0                 0 
 423        2122.2352               5.9318                0                 0 
 424***     2128.1667               5.9315                90                2.9843 
