ÐòºÅ     x×ø±ê             y×ø±ê
N 1312 G00X-2189.318   Y 558.182 
N 1313 G00X-2189.318   Y 455.165 
N 1314 G00X-2189.318   Y 455.165 
N 1315 G00X-2139.203   Y 455.165 
N 1316 G00X-2139.203   Y 455.165 
N 1317 G00X-2138.006   Y 455.164 
N 1318 G00X-2136.812   Y 455.169 
N 1319 G00X-2135.621   Y 455.181 
N 1320 G00X-2134.433   Y 455.199 
N 1321 G00X-2133.25    Y 455.223 
N 1322 G00X-2132.072   Y 455.253 
N 1323 G00X-2130.9     Y 455.289 
N 1324 G00X-2129.735   Y 455.332 
N 1325 G00X-2128.577   Y 455.38 
N 1326 G00X-2127.427   Y 455.434 
N 1327 G00X-2126.285   Y 455.493 
N 1328 G00X-2125.154   Y 455.559 
N 1329 G00X-2124.032   Y 455.63 
N 1330 G00X-2122.922   Y 455.706 
N 1331 G00X-2121.823   Y 455.788 
N 1332 G00X-2120.737   Y 455.875 
N 1333 G00X-2119.664   Y 455.967 
N 1334 G00X-2118.605   Y 456.065 
N 1335 G00X-2117.561   Y 456.167 
N 1336 G00X-2116.532   Y 456.275 
N 1337 G00X-2116.532   Y 456.275 
N 1338 G00X-2115.581   Y 456.375 
N 1339 G00X-2114.633   Y 456.481 
N 1340 G00X-2113.688   Y 456.593 
N 1341 G00X-2112.747   Y 456.711 
N 1342 G00X-2111.81    Y 456.835 
N 1343 G00X-2110.878   Y 456.964 
N 1344 G00X-2109.951   Y 457.099 
N 1345 G00X-2109.031   Y 457.239 
N 1346 G00X-2108.117   Y 457.385 
N 1347 G00X-2107.21    Y 457.535 
N 1348 G00X-2106.31    Y 457.691 
N 1349 G00X-2105.419   Y 457.851 
N 1350 G00X-2104.536   Y 458.016 
N 1351 G00X-2103.663   Y 458.185 
N 1352 G00X-2102.799   Y 458.359 
N 1353 G00X-2101.946   Y 458.537 
N 1354 G00X-2101.104   Y 458.72 
N 1355 G00X-2100.273   Y 458.906 
N 1356 G00X-2099.453   Y 459.096 
N 1357 G00X-2098.647   Y 459.29 
N 1358 G00X-2098.647   Y 459.29 
N 1359 G00X-2097.877   Y 459.475 
N 1360 G00X-2097.111   Y 459.667 
N 1361 G00X-2096.348   Y 459.865 
N 1362 G00X-2095.591   Y 460.068 
N 1363 G00X-2094.837   Y 460.278 
N 1364 G00X-2094.089   Y 460.492 
N 1365 G00X-2093.347   Y 460.712 
N 1366 G00X-2092.61    Y 460.937 
N 1367 G00X-2091.88    Y 461.167 
N 1368 G00X-2091.156   Y 461.401 
N 1369 G00X-2090.44    Y 461.64 
N 1370 G00X-2089.731   Y 461.884 
N 1371 G00X-2089.03    Y 462.131 
N 1372 G00X-2088.337   Y 462.383 
N 1373 G00X-2087.653   Y 462.638 
N 1374 G00X-2086.978   Y 462.897 
N 1375 G00X-2086.312   Y 463.16 
N 1376 G00X-2085.657   Y 463.425 
N 1377 G00X-2085.011   Y 463.694 
N 1378 G00X-2084.376   Y 463.965 
N 1379 G00X-2084.376   Y 463.965 
N 1380 G00X-2083.931   Y 464.157 
N 1381 G00X-2083.488   Y 464.352 
N 1382 G00X-2083.048   Y 464.55 
N 1383 G00X-2082.611   Y 464.75 
N 1384 G00X-2082.177   Y 464.953 
N 1385 G00X-2081.746   Y 465.158 
N 1386 G00X-2081.319   Y 465.366 
N 1387 G00X-2080.896   Y 465.575 
N 1388 G00X-2080.477   Y 465.787 
N 1389 G00X-2080.063   Y 466 
N 1390 G00X-2079.653   Y 466.215 
N 1391 G00X-2079.248   Y 466.432 
N 1392 G00X-2078.848   Y 466.65 
N 1393 G00X-2078.453   Y 466.869 
N 1394 G00X-2078.064   Y 467.089 
N 1395 G00X-2077.68    Y 467.31 
N 1396 G00X-2077.303   Y 467.531 
N 1397 G00X-2076.932   Y 467.754 
N 1398 G00X-2076.567   Y 467.977 
N 1399 G00X-2076.209   Y 468.2 
N 1400 G00X-2076.209   Y 468.2 
N 1401 G00X-2075.274   Y 468.806 
N 1402 G00X-2074.364   Y 469.434 
N 1403 G00X-2073.478   Y 470.086 
N 1404 G00X-2072.617   Y 470.759 
N 1405 G00X-2071.78    Y 471.452 
N 1406 G00X-2070.969   Y 472.166 
N 1407 G00X-2070.183   Y 472.9 
N 1408 G00X-2069.422   Y 473.652 
N 1409 G00X-2068.687   Y 474.422 
N 1410 G00X-2067.978   Y 475.209 
N 1411 G00X-2067.295   Y 476.012 
N 1412 G00X-2066.639   Y 476.831 
N 1413 G00X-2066.008   Y 477.665 
N 1414 G00X-2065.405   Y 478.514 
N 1415 G00X-2064.828   Y 479.375 
N 1416 G00X-2064.278   Y 480.249 
N 1417 G00X-2063.756   Y 481.136 
N 1418 G00X-2063.261   Y 482.033 
N 1419 G00X-2062.794   Y 482.941 
N 1420 G00X-2062.354   Y 483.858 
N 1421 G00X-2062.354   Y 483.858 
N 1422 G00X-2062.093   Y 484.425 
N 1423 G00X-2061.84    Y 484.993 
N 1424 G00X-2061.595   Y 485.563 
N 1425 G00X-2061.358   Y 486.133 
N 1426 G00X-2061.129   Y 486.703 
N 1427 G00X-2060.908   Y 487.274 
N 1428 G00X-2060.696   Y 487.844 
N 1429 G00X-2060.491   Y 488.414 
N 1430 G00X-2060.295   Y 488.984 
N 1431 G00X-2060.107   Y 489.552 
N 1432 G00X-2059.928   Y 490.118 
N 1433 G00X-2059.757   Y 490.683 
N 1434 G00X-2059.594   Y 491.246 
N 1435 G00X-2059.44    Y 491.807 
N 1436 G00X-2059.294   Y 492.365 
N 1437 G00X-2059.157   Y 492.92 
N 1438 G00X-2059.028   Y 493.471 
N 1439 G00X-2058.908   Y 494.019 
N 1440 G00X-2058.796   Y 494.563 
N 1441 G00X-2058.693   Y 495.103 
N 1442 G00X-2058.693   Y 495.103 
N 1443 G00X-2058.565   Y 495.775 
N 1444 G00X-2058.444   Y 496.447 
N 1445 G00X-2058.33    Y 497.118 
N 1446 G00X-2058.222   Y 497.787 
N 1447 G00X-2058.121   Y 498.455 
N 1448 G00X-2058.027   Y 499.12 
N 1449 G00X-2057.939   Y 499.784 
N 1450 G00X-2057.858   Y 500.444 
N 1451 G00X-2057.783   Y 501.101 
N 1452 G00X-2057.715   Y 501.755 
N 1453 G00X-2057.654   Y 502.404 
N 1454 G00X-2057.599   Y 503.05 
N 1455 G00X-2057.551   Y 503.69 
N 1456 G00X-2057.509   Y 504.326 
N 1457 G00X-2057.473   Y 504.956 
N 1458 G00X-2057.445   Y 505.581 
N 1459 G00X-2057.422   Y 506.199 
N 1460 G00X-2057.406   Y 506.811 
N 1461 G00X-2057.397   Y 507.416 
N 1462 G00X-2057.394   Y 508.014 
N 1463 G00X-2057.394   Y 508.014 
N 1464 G00X-2057.387   Y 508.664 
N 1465 G00X-2057.387   Y 508.664 
N 1466 G00X-2057.384   Y 509.319 
N 1467 G00X 999999     Y 999999 
N 1468 G00X-1999.011   Y 509.305 
N 1469 G00X-1999.011   Y 508.264 
N 1470 G00X-1999.019   Y 507.226 
N 1471 G00X-1999.036   Y 506.191 
N 1472 G00X-1999.061   Y 505.159 
N 1473 G00X-1999.095   Y 504.132 
N 1474 G00X-1999.137   Y 503.11 
N 1475 G00X-1999.187   Y 502.093 
N 1476 G00X-1999.245   Y 501.082 
N 1477 G00X-1999.311   Y 500.078 
N 1478 G00X-1999.385   Y 499.08 
N 1479 G00X-1999.467   Y 498.091 
N 1480 G00X-1999.556   Y 497.109 
N 1481 G00X-1999.653   Y 496.137 
N 1482 G00X-1999.757   Y 495.174 
N 1483 G00X-1999.869   Y 494.22 
N 1484 G00X-1999.988   Y 493.277 
N 1485 G00X-2000.113   Y 492.346 
N 1486 G00X-2000.246   Y 491.426 
N 1487 G00X-2000.386   Y 490.518 
N 1488 G00X-2000.532   Y 489.623 
N 1489 G00X-2000.532   Y 489.623 
N 1490 G00X-2000.689   Y 488.676 
N 1491 G00X-2000.856   Y 487.734 
N 1492 G00X-2001.032   Y 486.796 
N 1493 G00X-2001.217   Y 485.864 
N 1494 G00X-2001.411   Y 484.938 
N 1495 G00X-2001.615   Y 484.019 
N 1496 G00X-2001.827   Y 483.106 
N 1497 G00X-2002.048   Y 482.2 
N 1498 G00X-2002.277   Y 481.302 
N 1499 G00X-2002.514   Y 480.412 
N 1500 G00X-2002.759   Y 479.531 
N 1501 G00X-2003.011   Y 478.659 
N 1502 G00X-2003.271   Y 477.796 
N 1503 G00X-2003.539   Y 476.943 
N 1504 G00X-2003.813   Y 476.101 
N 1505 G00X-2004.094   Y 475.269 
N 1506 G00X-2004.382   Y 474.449 
N 1507 G00X-2004.676   Y 473.641 
N 1508 G00X-2004.977   Y 472.844 
N 1509 G00X-2005.283   Y 472.061 
N 1510 G00X-2005.283   Y 472.061 
N 1511 G00X-2005.684   Y 471.051 
N 1512 G00X-2006.099   Y 470.051 
N 1513 G00X-2006.528   Y 469.062 
N 1514 G00X-2006.971   Y 468.084 
N 1515 G00X-2007.426   Y 467.117 
N 1516 G00X-2007.895   Y 466.163 
N 1517 G00X-2008.375   Y 465.22 
N 1518 G00X-2008.868   Y 464.29 
N 1519 G00X-2009.372   Y 463.373 
N 1520 G00X-2009.887   Y 462.47 
N 1521 G00X-2010.413   Y 461.58 
N 1522 G00X-2010.95    Y 460.704 
N 1523 G00X-2011.496   Y 459.842 
N 1524 G00X-2012.052   Y 458.996 
N 1525 G00X-2012.617   Y 458.164 
N 1526 G00X-2013.191   Y 457.348 
N 1527 G00X-2013.773   Y 456.548 
N 1528 G00X-2014.364   Y 455.764 
N 1529 G00X-2014.962   Y 454.996 
N 1530 G00X-2015.567   Y 454.246 
N 1531 G00X-2015.567   Y 454.246 
N 1532 G00X-2016.297   Y 453.365 
N 1533 G00X-2017.038   Y 452.501 
N 1534 G00X-2017.791   Y 451.653 
N 1535 G00X-2018.554   Y 450.822 
N 1536 G00X-2019.328   Y 450.008 
N 1537 G00X-2020.112   Y 449.211 
N 1538 G00X-2020.905   Y 448.431 
N 1539 G00X-2021.706   Y 447.668 
N 1540 G00X-2022.516   Y 446.924 
N 1541 G00X-2023.334   Y 446.197 
N 1542 G00X-2024.158   Y 445.489 
N 1543 G00X-2024.989   Y 444.798 
N 1544 G00X-2025.827   Y 444.127 
N 1545 G00X-2026.67    Y 443.474 
N 1546 G00X-2027.518   Y 442.841 
N 1547 G00X-2028.37    Y 442.226 
N 1548 G00X-2029.227   Y 441.632 
N 1549 G00X-2030.087   Y 441.057 
N 1550 G00X-2030.95    Y 440.501 
N 1551 G00X-2031.815   Y 439.966 
N 1552 G00X-2031.815   Y 439.966 
N 1553 G00X-2032.166   Y 439.749 
N 1554 G00X-2032.517   Y 439.534 
N 1555 G00X-2032.869   Y 439.321 
N 1556 G00X-2033.22    Y 439.11 
N 1557 G00X-2033.571   Y 438.902 
N 1558 G00X-2033.922   Y 438.697 
N 1559 G00X-2034.272   Y 438.494 
N 1560 G00X-2034.621   Y 438.294 
N 1561 G00X-2034.969   Y 438.096 
N 1562 G00X-2035.315   Y 437.902 
N 1563 G00X-2035.66    Y 437.711 
N 1564 G00X-2036.003   Y 437.524 
N 1565 G00X-2036.344   Y 437.339 
N 1566 G00X-2036.683   Y 437.158 
N 1567 G00X-2037.019   Y 436.981 
N 1568 G00X-2037.352   Y 436.808 
N 1569 G00X-2037.682   Y 436.638 
N 1570 G00X-2038.009   Y 436.472 
N 1571 G00X-2038.332   Y 436.31 
N 1572 G00X-2038.652   Y 436.153 
N 1573 G00X-2038.652   Y 436.153 
N 1574 G00X-2039.85    Y 435.558 
N 1575 G00X-2041.05    Y 434.974 
N 1576 G00X-2042.252   Y 434.403 
N 1577 G00X-2043.454   Y 433.845 
N 1578 G00X-2044.657   Y 433.299 
N 1579 G00X-2045.859   Y 432.767 
N 1580 G00X-2047.059   Y 432.247 
N 1581 G00X-2048.257   Y 431.74 
N 1582 G00X-2049.453   Y 431.247 
N 1583 G00X-2050.645   Y 430.768 
N 1584 G00X-2051.833   Y 430.302 
N 1585 G00X-2053.016   Y 429.851 
N 1586 G00X-2054.194   Y 429.413 
N 1587 G00X-2055.365   Y 428.99 
N 1588 G00X-2056.529   Y 428.581 
N 1589 G00X-2057.685   Y 428.188 
N 1590 G00X-2058.833   Y 427.809 
N 1591 G00X-2059.972   Y 427.445 
N 1592 G00X-2061.101   Y 427.096 
N 1593 G00X-2062.22    Y 426.763 
N 1594 G00X-2062.22    Y 426.763 
N 1595 G00X-2063.566   Y 426.363 
N 1596 G00X-2064.912   Y 425.973 
N 1597 G00X-2066.257   Y 425.593 
N 1598 G00X-2067.6     Y 425.225 
N 1599 G00X-2068.94    Y 424.867 
N 1600 G00X-2070.277   Y 424.52 
N 1601 G00X-2071.611   Y 424.184 
N 1602 G00X-2072.939   Y 423.86 
N 1603 G00X-2074.261   Y 423.547 
N 1604 G00X-2075.577   Y 423.245 
N 1605 G00X-2076.886   Y 422.955 
N 1606 G00X-2078.186   Y 422.676 
N 1607 G00X-2079.477   Y 422.409 
N 1608 G00X-2080.759   Y 422.154 
N 1609 G00X-2082.03    Y 421.911 
N 1610 G00X-2083.29    Y 421.68 
N 1611 G00X-2084.537   Y 421.461 
N 1612 G00X-2085.772   Y 421.254 
N 1613 G00X-2086.993   Y 421.06 
N 1614 G00X-2088.199   Y 420.878 
N 1615 G00X-2088.199   Y 420.878 
N 1616 G00X-2089.785   Y 420.639 
N 1617 G00X-2091.37    Y 420.41 
N 1618 G00X-2092.952   Y 420.191 
N 1619 G00X-2094.53    Y 419.982 
N 1620 G00X-2096.103   Y 419.783 
N 1621 G00X-2097.671   Y 419.594 
N 1622 G00X-2099.233   Y 419.416 
N 1623 G00X-2100.787   Y 419.248 
N 1624 G00X-2102.332   Y 419.091 
N 1625 G00X-2103.868   Y 418.943 
N 1626 G00X-2105.394   Y 418.806 
N 1627 G00X-2106.908   Y 418.679 
N 1628 G00X-2108.41    Y 418.563 
N 1629 G00X-2109.899   Y 418.457 
N 1630 G00X-2111.373   Y 418.362 
N 1631 G00X-2112.833   Y 418.277 
N 1632 G00X-2114.276   Y 418.202 
N 1633 G00X-2115.702   Y 418.138 
N 1634 G00X-2117.11    Y 418.085 
N 1635 G00X-2118.499   Y 418.042 
N 1636 G00X-2118.499   Y 418.042 
N 1637 G00X-2119.113   Y 418.02 
N 1638 G00X-2119.726   Y 417.999 
N 1639 G00X-2120.338   Y 417.98 
N 1640 G00X-2120.948   Y 417.962 
N 1641 G00X-2121.557   Y 417.945 
N 1642 G00X-2122.163   Y 417.929 
N 1643 G00X-2122.766   Y 417.914 
N 1644 G00X-2123.366   Y 417.9 
N 1645 G00X-2123.962   Y 417.888 
N 1646 G00X-2124.554   Y 417.877 
N 1647 G00X-2125.141   Y 417.867 
N 1648 G00X-2125.724   Y 417.858 
N 1649 G00X-2126.301   Y 417.851 
N 1650 G00X-2126.872   Y 417.844 
N 1651 G00X-2127.436   Y 417.839 
N 1652 G00X-2127.994   Y 417.835 
N 1653 G00X-2128.545   Y 417.832 
N 1654 G00X-2129.087   Y 417.831 
N 1655 G00X-2129.622   Y 417.83 
N 1656 G00X-2130.149   Y 417.831 
N 1657 G00X-2130.149   Y 417.831 
N 1658 G00X-2245.426   Y 417.831 
N 1659 G00X-2245.426   Y 417.831 
N 1660 G00X-2245.426   Y 721.832 
N 1661 G00X-2245.426   Y 721.832 
N 1662 G00X-2125.624   Y 721.832 
N 1663 G00X-2125.624   Y 721.832 
N 1664 G00X-2124.21    Y 721.833 
N 1665 G00X-2122.8     Y 721.825 
N 1666 G00X-2121.393   Y 721.809 
N 1667 G00X-2119.99    Y 721.786 
N 1668 G00X-2118.592   Y 721.754 
N 1669 G00X-2117.201   Y 721.715 
N 1670 G00X-2115.817   Y 721.668 
N 1671 G00X-2114.441   Y 721.613 
N 1672 G00X-2113.073   Y 721.55 
N 1673 G00X-2111.715   Y 721.48 
N 1674 G00X-2110.367   Y 721.403 
N 1675 G00X-2109.031   Y 721.319 
N 1676 G00X-2107.706   Y 721.227 
N 1677 G00X-2106.395   Y 721.128 
N 1678 G00X-2105.098   Y 721.023 
N 1679 G00X-2103.815   Y 720.91 
N 1680 G00X-2102.547   Y 720.791 
N 1681 G00X-2101.296   Y 720.665 
N 1682 G00X-2100.062   Y 720.533 
N 1683 G00X-2098.846   Y 720.394 
N 1684 G00X-2098.846   Y 720.394 
N 1685 G00X-2097.654   Y 720.257 
N 1686 G00X-2096.465   Y 720.112 
N 1687 G00X-2095.281   Y 719.959 
N 1688 G00X-2094.101   Y 719.798 
N 1689 G00X-2092.927   Y 719.63 
N 1690 G00X-2091.76    Y 719.454 
N 1691 G00X-2090.599   Y 719.27 
N 1692 G00X-2089.446   Y 719.08 
N 1693 G00X-2088.301   Y 718.882 
N 1694 G00X-2087.166   Y 718.678 
N 1695 G00X-2086.04    Y 718.467 
N 1696 G00X-2084.924   Y 718.249 
N 1697 G00X-2083.819   Y 718.026 
N 1698 G00X-2082.726   Y 717.796 
N 1699 G00X-2081.645   Y 717.561 
N 1700 G00X-2080.578   Y 717.32 
N 1701 G00X-2079.523   Y 717.073 
N 1702 G00X-2078.484   Y 716.821 
N 1703 G00X-2077.459   Y 716.564 
N 1704 G00X-2076.449   Y 716.302 
N 1705 G00X-2076.449   Y 716.302 
N 1706 G00X-2075.54    Y 716.065 
N 1707 G00X-2074.634   Y 715.822 
N 1708 G00X-2073.733   Y 715.572 
N 1709 G00X-2072.836   Y 715.316 
N 1710 G00X-2071.946   Y 715.054 
N 1711 G00X-2071.061   Y 714.786 
N 1712 G00X-2070.182   Y 714.513 
N 1713 G00X-2069.311   Y 714.235 
N 1714 G00X-2068.447   Y 713.951 
N 1715 G00X-2067.59    Y 713.663 
N 1716 G00X-2066.743   Y 713.37 
N 1717 G00X-2065.904   Y 713.073 
N 1718 G00X-2065.074   Y 712.771 
N 1719 G00X-2064.254   Y 712.466 
N 1720 G00X-2063.444   Y 712.156 
N 1721 G00X-2062.645   Y 711.844 
N 1722 G00X-2061.858   Y 711.528 
N 1723 G00X-2061.082   Y 711.208 
N 1724 G00X-2060.318   Y 710.887 
N 1725 G00X-2059.567   Y 710.562 
N 1726 G00X-2059.567   Y 710.562 
N 1727 G00X-2058.6     Y 710.144 
N 1728 G00X-2057.641   Y 709.716 
N 1729 G00X-2056.691   Y 709.278 
N 1730 G00X-2055.748   Y 708.832 
N 1731 G00X-2054.816   Y 708.376 
N 1732 G00X-2053.892   Y 707.912 
N 1733 G00X-2052.979   Y 707.44 
N 1734 G00X-2052.075   Y 706.96 
N 1735 G00X-2051.183   Y 706.473 
N 1736 G00X-2050.302   Y 705.979 
N 1737 G00X-2049.432   Y 705.478 
N 1738 G00X-2048.574   Y 704.971 
N 1739 G00X-2047.729   Y 704.458 
N 1740 G00X-2046.896   Y 703.939 
N 1741 G00X-2046.077   Y 703.414 
N 1742 G00X-2045.271   Y 702.885 
N 1743 G00X-2044.479   Y 702.351 
N 1744 G00X-2043.702   Y 701.813 
N 1745 G00X-2042.94    Y 701.271 
N 1746 G00X-2042.193   Y 700.725 
N 1747 G00X-2042.193   Y 700.725 
N 1748 G00X-2041.362   Y 700.103 
N 1749 G00X-2040.54    Y 699.473 
N 1750 G00X-2039.728   Y 698.837 
N 1751 G00X-2038.925   Y 698.195 
N 1752 G00X-2038.132   Y 697.547 
N 1753 G00X-2037.35    Y 696.894 
N 1754 G00X-2036.578   Y 696.236 
N 1755 G00X-2035.818   Y 695.573 
N 1756 G00X-2035.068   Y 694.907 
N 1757 G00X-2034.331   Y 694.237 
N 1758 G00X-2033.605   Y 693.565 
N 1759 G00X-2032.892   Y 692.889 
N 1760 G00X-2032.191   Y 692.211 
N 1761 G00X-2031.504   Y 691.532 
N 1762 G00X-2030.83    Y 690.851 
N 1763 G00X-2030.169   Y 690.169 
N 1764 G00X-2029.523   Y 689.486 
N 1765 G00X-2028.891   Y 688.803 
N 1766 G00X-2028.274   Y 688.121 
N 1767 G00X-2027.671   Y 687.44 
N 1768 G00X-2027.671   Y 687.44 
N 1769 G00X-2027.035   Y 686.715 
N 1770 G00X-2026.411   Y 685.984 
N 1771 G00X-2025.799   Y 685.248 
N 1772 G00X-2025.198   Y 684.507 
N 1773 G00X-2024.609   Y 683.762 
N 1774 G00X-2024.033   Y 683.013 
N 1775 G00X-2023.469   Y 682.261 
N 1776 G00X-2022.917   Y 681.505 
N 1777 G00X-2022.378   Y 680.747 
N 1778 G00X-2021.852   Y 679.987 
N 1779 G00X-2021.34    Y 679.225 
N 1780 G00X-2020.84    Y 678.462 
N 1781 G00X-2020.355   Y 677.699 
N 1782 G00X-2019.882   Y 676.934 
N 1783 G00X-2019.424   Y 676.17 
N 1784 G00X-2018.98    Y 675.407 
N 1785 G00X-2018.55    Y 674.644 
N 1786 G00X-2018.134   Y 673.884 
N 1787 G00X-2017.733   Y 673.124 
N 1788 G00X-2017.346   Y 672.368 
N 1789 G00X-2017.346   Y 672.368 
N 1790 G00X-2016.705   Y 671.073 
N 1791 G00X-2016.096   Y 669.771 
N 1792 G00X-2015.518   Y 668.462 
N 1793 G00X-2014.972   Y 667.148 
N 1794 G00X-2014.457   Y 665.83 
N 1795 G00X-2013.974   Y 664.507 
N 1796 G00X-2013.522   Y 663.181 
N 1797 G00X-2013.1     Y 661.852 
N 1798 G00X-2012.71    Y 660.522 
N 1799 G00X-2012.35    Y 659.191 
N 1800 G00X-2012.021   Y 657.859 
N 1801 G00X-2011.723   Y 656.529 
N 1802 G00X-2011.454   Y 655.199 
N 1803 G00X-2011.217   Y 653.872 
N 1804 G00X-2011.009   Y 652.547 
N 1805 G00X-2010.831   Y 651.226 
N 1806 G00X-2010.683   Y 649.91 
N 1807 G00X-2010.565   Y 648.599 
N 1808 G00X-2010.477   Y 647.293 
N 1809 G00X-2010.418   Y 645.995 
N 1810 G00X-2010.418   Y 645.995 
N 1811 G00X-2010.41    Y 645.818 
N 1812 G00X-2010.402   Y 645.642 
N 1813 G00X-2010.395   Y 645.466 
N 1814 G00X-2010.388   Y 645.291 
N 1815 G00X-2010.382   Y 645.116 
N 1816 G00X-2010.376   Y 644.941 
N 1817 G00X-2010.37    Y 644.768 
N 1818 G00X-2010.365   Y 644.596 
N 1819 G00X-2010.361   Y 644.424 
N 1820 G00X-2010.356   Y 644.254 
N 1821 G00X-2010.353   Y 644.085 
N 1822 G00X-2010.349   Y 643.918 
N 1823 G00X-2010.347   Y 643.752 
N 1824 G00X-2010.344   Y 643.587 
N 1825 G00X-2010.342   Y 643.425 
N 1826 G00X-2010.341   Y 643.264 
N 1827 G00X-2010.34    Y 643.106 
N 1828 G00X-2010.339   Y 642.95 
N 1829 G00X-2010.339   Y 642.796 
N 1830 G00X-2010.339   Y 642.644 
N 1831 G00X-2010.339   Y 642.644 
N 1832 G00X-2010.338   Y 641.815 
N 1833 G00X-2010.345   Y 640.987 
N 1834 G00X-2010.36    Y 640.163 
N 1835 G00X-2010.382   Y 639.341 
N 1836 G00X-2010.411   Y 638.523 
N 1837 G00X-2010.448   Y 637.709 
N 1838 G00X-2010.492   Y 636.899 
N 1839 G00X-2010.543   Y 636.094 
N 1840 G00X-2010.601   Y 635.295 
N 1841 G00X-2010.666   Y 634.501 
N 1842 G00X-2010.738   Y 633.713 
N 1843 G00X-2010.817   Y 632.932 
N 1844 G00X-2010.902   Y 632.158 
N 1845 G00X-2010.993   Y 631.391 
N 1846 G00X-2011.092   Y 630.632 
N 1847 G00X-2011.196   Y 629.882 
N 1848 G00X-2011.307   Y 629.14 
N 1849 G00X-2011.424   Y 628.407 
N 1850 G00X-2011.547   Y 627.684 
N 1851 G00X-2011.676   Y 626.971 
N 1852 G00X-2011.676   Y 626.971 
N 1853 G00X-2011.81    Y 626.24 
N 1854 G00X-2011.953   Y 625.513 
N 1855 G00X-2012.104   Y 624.79 
N 1856 G00X-2012.263   Y 624.071 
N 1857 G00X-2012.429   Y 623.358 
N 1858 G00X-2012.603   Y 622.649 
N 1859 G00X-2012.785   Y 621.946 
N 1860 G00X-2012.973   Y 621.25 
N 1861 G00X-2013.168   Y 620.559 
N 1862 G00X-2013.37    Y 619.875 
N 1863 G00X-2013.579   Y 619.198 
N 1864 G00X-2013.794   Y 618.529 
N 1865 G00X-2014.016   Y 617.866 
N 1866 G00X-2014.243   Y 617.212 
N 1867 G00X-2014.477   Y 616.566 
N 1868 G00X-2014.716   Y 615.929 
N 1869 G00X-2014.961   Y 615.301 
N 1870 G00X-2015.211   Y 614.682 
N 1871 G00X-2015.466   Y 614.073 
N 1872 G00X-2015.726   Y 613.473 
N 1873 G00X-2015.726   Y 613.473 
N 1874 G00X-2016.118   Y 612.588 
N 1875 G00X-2016.526   Y 611.715 
N 1876 G00X-2016.949   Y 610.854 
N 1877 G00X-2017.386   Y 610.006 
N 1878 G00X-2017.837   Y 609.17 
N 1879 G00X-2018.302   Y 608.347 
N 1880 G00X-2018.781   Y 607.538 
N 1881 G00X-2019.272   Y 606.743 
N 1882 G00X-2019.777   Y 605.961 
N 1883 G00X-2020.293   Y 605.193 
N 1884 G00X-2020.821   Y 604.44 
N 1885 G00X-2021.36    Y 603.702 
N 1886 G00X-2021.91    Y 602.979 
N 1887 G00X-2022.471   Y 602.271 
N 1888 G00X-2023.041   Y 601.578 
N 1889 G00X-2023.622   Y 600.902 
N 1890 G00X-2024.211   Y 600.241 
N 1891 G00X-2024.81    Y 599.597 
N 1892 G00X-2025.417   Y 598.97 
N 1893 G00X-2026.032   Y 598.359 
N 1894 G00X-2026.032   Y 598.359 
N 1895 G00X-2026.308   Y 598.091 
N 1896 G00X-2026.585   Y 597.824 
N 1897 G00X-2026.864   Y 597.561 
N 1898 G00X-2027.144   Y 597.3 
N 1899 G00X-2027.424   Y 597.043 
N 1900 G00X-2027.705   Y 596.788 
N 1901 G00X-2027.987   Y 596.537 
N 1902 G00X-2028.268   Y 596.289 
N 1903 G00X-2028.55    Y 596.044 
N 1904 G00X-2028.832   Y 595.804 
N 1905 G00X-2029.113   Y 595.567 
N 1906 G00X-2029.394   Y 595.333 
N 1907 G00X-2029.674   Y 595.104 
N 1908 G00X-2029.954   Y 594.879 
N 1909 G00X-2030.232   Y 594.659 
N 1910 G00X-2030.509   Y 594.442 
N 1911 G00X-2030.785   Y 594.231 
N 1912 G00X-2031.059   Y 594.024 
N 1913 G00X-2031.331   Y 593.821 
N 1914 G00X-2031.602   Y 593.624 
N 1915 G00X-2031.602   Y 593.624 
N 1916 G00X-2032.568   Y 592.894 
N 1917 G00X-2033.538   Y 592.175 
N 1918 G00X-2034.512   Y 591.467 
N 1919 G00X-2035.489   Y 590.771 
N 1920 G00X-2036.469   Y 590.087 
N 1921 G00X-2037.45    Y 589.415 
N 1922 G00X-2038.433   Y 588.756 
N 1923 G00X-2039.417   Y 588.11 
N 1924 G00X-2040.401   Y 587.476 
N 1925 G00X-2041.384   Y 586.856 
N 1926 G00X-2042.367   Y 586.25 
N 1927 G00X-2043.348   Y 585.657 
N 1928 G00X-2044.326   Y 585.078 
N 1929 G00X-2045.302   Y 584.514 
N 1930 G00X-2046.274   Y 583.964 
N 1931 G00X-2047.243   Y 583.429 
N 1932 G00X-2048.207   Y 582.91 
N 1933 G00X-2049.166   Y 582.405 
N 1934 G00X-2050.119   Y 581.917 
N 1935 G00X-2051.065   Y 581.444 
N 1936 G00X-2051.065   Y 581.444 
N 1937 G00X-2051.696   Y 581.13 
N 1938 G00X-2052.328   Y 580.821 
N 1939 G00X-2052.96    Y 580.517 
N 1940 G00X-2053.592   Y 580.219 
N 1941 G00X-2054.223   Y 579.926 
N 1942 G00X-2054.854   Y 579.638 
N 1943 G00X-2055.484   Y 579.356 
N 1944 G00X-2056.112   Y 579.079 
N 1945 G00X-2056.738   Y 578.809 
N 1946 G00X-2057.362   Y 578.544 
