ÐòºÅ     x×ø±ê             y×ø±ê
N 281  G00X-2395.702   Y 626.915 
N 282  G00X-2396.521   Y 624.465 
N 283  G00X-2397.435   Y 622.099 
N 284  G00X-2398.446   Y 619.816 
N 285  G00X-2399.554   Y 617.616 
N 286  G00X-2400.757   Y 615.5 
N 287  G00X-2402.057   Y 613.467 
N 288  G00X-2403.453   Y 611.518 
N 289  G00X-2404.946   Y 609.652 
N 290  G00X-2406.534   Y 607.869 
N 291  G00X-2408.219   Y 606.169 
N 292  G00X-2410.001   Y 604.553 
N 293  G00X-2411.878   Y 603.02 
N 294  G00X-2411.878   Y 603.02 
N 295  G00X-2413.807   Y 601.553 
N 296  G00X-2415.741   Y 600.134 
N 297  G00X-2417.681   Y 598.763 
N 298  G00X-2419.626   Y 597.441 
N 299  G00X-2421.578   Y 596.167 
N 300  G00X-2423.535   Y 594.941 
N 301  G00X-2425.497   Y 593.763 
N 302  G00X-2427.465   Y 592.634 
N 303  G00X-2429.439   Y 591.553 
N 304  G00X-2431.419   Y 590.52 
N 305  G00X-2433.404   Y 589.535 
N 306  G00X-2435.395   Y 588.599 
N 307  G00X-2437.391   Y 587.711 
N 308  G00X-2439.393   Y 586.871 
N 309  G00X-2441.401   Y 586.079 
N 310  G00X-2443.415   Y 585.336 
N 311  G00X-2445.434   Y 584.64 
N 312  G00X-2447.459   Y 583.994 
N 313  G00X-2449.489   Y 583.395 
N 314  G00X-2451.525   Y 582.844 
N 315  G00X-2451.525   Y 582.844 
N 316  G00X-2448.821   Y 582.29 
N 317  G00X-2446.145   Y 581.678 
N 318  G00X-2443.497   Y 581.009 
N 319  G00X-2440.877   Y 580.283 
N 320  G00X-2438.286   Y 579.5 
N 321  G00X-2435.723   Y 578.66 
N 322  G00X-2433.189   Y 577.763 
N 323  G00X-2430.682   Y 576.809 
N 324  G00X-2428.204   Y 575.798 
N 325  G00X-2425.755   Y 574.73 
N 326  G00X-2423.333   Y 573.605 
N 327  G00X-2420.94    Y 572.423 
N 328  G00X-2418.576   Y 571.184 
N 329  G00X-2416.239   Y 569.888 
N 330  G00X-2413.931   Y 568.535 
N 331  G00X-2411.652   Y 567.125 
N 332  G00X-2409.4     Y 565.658 
N 333  G00X-2407.177   Y 564.134 
N 334  G00X-2404.982   Y 562.553 
N 335  G00X-2402.816   Y 560.915 
N 336  G00X-2402.816   Y 560.915 
N 337  G00X-2400.718   Y 559.219 
N 338  G00X-2398.727   Y 557.467 
N 339  G00X-2396.843   Y 555.658 
N 340  G00X-2395.068   Y 553.792 
N 341  G00X-2393.4     Y 551.869 
N 342  G00X-2391.839   Y 549.888 
N 343  G00X-2390.387   Y 547.851 
N 344  G00X-2389.042   Y 545.757 
N 345  G00X-2387.804   Y 543.605 
N 346  G00X-2386.674   Y 541.397 
